FSN,ID
Ankle region structure (body structure),344001
Disorder of musculoskeletal system (disorder),928000
Structure of sacroiliac region (body structure),1781007
Eruption (morphologic abnormality),1806006
Joint structure of shoulder girdle or upper limb (body structure),1893007
Acute disease (disorder),2704003
Discoloration of skin (finding),3253007
Disorder of synovial membrane (disorder),3519007
Antibody measurement (procedure),3527003
Arthritis (disorder),3723001
Tophus (morphologic abnormality),3875003
Joint structure of lower extremity (body structure),4527007
Developmental disorder (disorder),5294002
Lower gastrointestinal tract structure (body structure),5668004
Physical examination procedure (procedure),5880005
Synovial fluid (substance),6085005
Structure of thoracic and/or lumbar region of back (body structure),6989001
Diagnostic imaging (procedure),7396004
Finger structure (body structure),7569003
Skin appendage structure (body structure),7748002
Structure of right foot (body structure),7769000
Left (qualifier value),7771000
Arthropathy (disorder),8316001
Joint structure of spine (body structure),8983005
Psoriasis (disorder),9014002
Nursing procedure (procedure),9632001
Spinal enthesopathy (disorder),10317009
Pain in lower limb (finding),10601006
Structure of pelvis (body structure),12921003
Structure of bursa (body structure),13351007
Synovitis (disorder),14107000
Administrative procedure (procedure),14734007
Structure of large intestine (body structure),14742008
Laboratory test (procedure),15220000
Ultrasonography (procedure),16310003
Non-steroidal anti-inflammatory agent (product),16403005
Allergic arthritis (disorder),16935003
Shoulder region structure (body structure),16982005
Back pain (disorder),16986008
Disorder of nail (disorder),17790008
Nervous system function (observable entity),18373002
Administration of drug or medicament (procedure),18629005
Structure of posterior surface of lower extremity (body structure),18636006
Evidence of (contextual qualifier) (qualifier value),18669006
Structure resulting from tissue repair process (morphologic abnormality),18867006
Symptom (finding),19019007
Structure of abdominopelvic viscus (body structure),19203006
Manipulation (procedure),19207007
Disorder of soft tissue (disorder),19660004
In-vitro immunologic test (procedure),19838004
Microbiology procedure (procedure),19851009
Structure of condylar joint (body structure),19949006
Structure of skin region (body structure),20795001
Structure of lumbar and/or sacral region of back (body structure),21492008
Abdominal pain (finding),21522001
Connective tissue structure (body structure),21793004
Pain (finding),22253000
Structure of left foot (body structure),22335008
Bone structure of ilium (body structure),22356005
Posterior abdominal wall structure (body structure),22577007
Trunk structure (body structure),22943007
Bone function (observable entity),23435004
Inflammation (morphologic abnormality),23583003
Enthesopathy (disorder),23680005
Right (qualifier value),24028007
Hip joint structure (body structure),24136001
Inflammatory bowel disease (disorder),24526004
Psychiatry procedure or service (procedure),24642003
Structure of musculoskeletal system (body structure),26107004
Structure of joint of foot (body structure),26552008
Myositis (disorder),26889001
Hyperkeratosis (morphologic abnormality),26996000
Aching pain (finding),27635008
Intertarsal joint structure (body structure),27949001
Innominate bone structure (body structure),28254004
Hip region structure (body structure),29836001
Rheumatism (disorder),29913006
Structure of lower extremity from knee to ankle (body structure),30021000
Pain in pelvis (finding),30473006
Autoantibody (substance),30621004
Inflammatory polyarthropathy (disorder),30701005
Joint structure of shoulder region (body structure),31398001
Structure of left lower limb (body structure),32153003
Body fluid (substance),32457005
Disorder of purine metabolism (disorder),32612005
Structure of right lower leg (body structure),32696007
Disorder of back (disorder),33308003
Psoriasis with arthropathy (disorder),33339001
Degeneration (morphologic abnormality),33359002
Liquid substance (substance),33463005
Hematology procedure (procedure),33468001
Human leukocyte antigen B27 (substance),34453005
Arthropathy associated with another disorder (disorder),35524003
Night pain (finding),36163009
Polyarthropathy (disorder),36186002
Structure of back of abdominopelvic segment of trunk (body structure),37822005
Entire body as a whole (body structure),38266002
Body part structure (body structure),38866009
Structure of hyaline cartilage (body structure),39298000
Joint structure (body structure),39352004
Sacroiliac joint structure (body structure),39723000
Skin structure (body structure),39937001
Morning stiffness - joint (finding),40144003
Structure of joint of hand (body structure),40238009
Gastrointestinal ulcer (disorder),40845000
Disorder of immune system (navigational concept),41266007
Erythrocyte (cell),41898006
Enzyme immunoassay (procedure),41993001
"Keratinization, function (observable entity)",44138005
Manipulation of spine (regime/therapy),44275008
Entire vertebral column (body structure),44300000
Pain of shoulder region (finding),45326000
Rheumatologist (occupation),45440000
Ulceration of colon (disorder),46040000
Biological function (observable entity),46197000
Deposition (morphologic abnormality),46595003
Metatarsophalangeal joint structure (body structure),46658007
Buttock structure (body structure),46862004
Human leukocyte antigen (substance),47038001
Abnormal color (finding),47415006
Structure of integumentary system (body structure),48075008
Structure of left lower leg (body structure),48979004
Knee joint structure (body structure),49076000
Uric acid level above reference range (finding),49099001
Pain of hip region (finding),49218002
Radiography of hand (procedure),49345004
Digestive organ structure (body structure),49596003
Morphologically abnormal structure (morphologic abnormality),49755003
Bone structure of spine (body structure),51282000
Digestive tract structure (body structure),51289009
Structure of multiple topographic sites (body structure),51576004
Therapeutic exercise (regime/therapy),51998003
Radiography of foot (procedure),52221007
Motor function (observable entity),52479005
Body region structure (body structure),52530000
Structure of lumbar region of back (body structure),52612000
Medicinal product acting as analgesic agent (product),53009005
Hand pain (finding),53057004
Upper limb structure (body structure),53120007
Arthropathy associated with a hypersensitivity reaction (disorder),53338001
Structure of vertebral region of back (body structure),53418001
Acute (qualifier value),53737009
Human leukocyte antigen B antigen (substance),54481006
Chronic colitis (disorder),54597004
Rheumatoid factor measurement (procedure),54921001
Inflammation of sacroiliac joint (finding),55146009
Chemical method (procedure),55284006
Problem (finding),55607006
Systemic disease (disorder),56019007
Foot structure (body structure),56459004
Hematopoietic system structure (body structure),57171008
Pain of joint (finding),57676002
Growth alteration (morphologic abnormality),57697001
Hair structure (body structure),58240005
Diagnostic radiography of abdomen (procedure),60654006
Buttock pain (finding),60932006
C reactive protein (substance),61425002
Cartilaginous tissue structure (body structure),61496007
Lower limb structure (body structure),61685007
New bone formation (morphologic abnormality),61838003
Structure of right lower limb (body structure),62175007
Normal ossification (finding),63049000
Structure of abdominopelvic segment of trunk (body structure),63337009
Colitis (disorder),64226004
Synovial membrane structure (body structure),64331004
Disease (disorder),64572001
Ulcerative colitis (disorder),64766004
Swelling (finding),65124004
Polymyalgia rheumatica (disorder),65323003
Sedimentation rate (procedure),65920009
Limb structure (body structure),66019005
